id_comp;id_categ;connaissance_savoir
103;1;-Avoir la capacité Ã  rédiger des rapports
104;2;Base de données
105;2;Bonne connaissance du marché de la sous-traitanceÂ : éditeurs
106;3;Bonne expression écrite et orale.
107;2;Bonne maîtrise des méthodologies de gestion multiprojets.
108;1;Capacité Ã  utiliser chaque donnée pour en faire une référence supplémentaire.
109;3;Capacité d'anticipation et d'adaptation aux nouvelles technologies
110;2;Certaines bases en contrôle de gestion
111;2;Concevoir et rédiger un plan d'intégration
112;3;Concevoir une méthode
113;2;Connaissance des applications et des technologies utilisées dans l'entreprise
114;2;Connaissance des métiers et de l'organisation de l'entreprise
115;2;Connaissance des réseaux LAN, MAN, WAN ,
116;2;Connaissance large des systêmes d'information.
117;2;Connaissances techniques approfondies dans le secteur du produit dont ils assurent le service aprês -vente (informatique
118;2;Connaître un ou plusieurs domaines métiers
119;3;Contribuer Ã  l'élaboration de 
120;3;Converser en anglais en contexte professionnel
121;2;Déployer les processus de gestion des services informatiques
122;1;Développement d'ouvrages
123;1;Diagnostiquer
124;1;Ecrire formellement un dysfonctionnement
125;1;Elaborer et déployer une méthodologie de résolution
126;2;Environnement professionnel du domaine d'activité
127;3;Esprit d'équipe
128;1;Formation et transmission de connaissances
129;1;Former des collaborateurs ou des clients
130;2;Gérer les droits d'accês des utilisateurs
131;2;Gérer les évolutions des infrastructures informatiques (systême
132;1;-Gérer les incidents et les situations de crise
133;1;Gérer une crise 
134;1;Gestion des contrôles
135;2;Gestion des opérations informatiques
136;1;Gestion des risques
137;2;Hadoop
138;1;-Il est  indispensable pour avoir la vision globale d'un projet et apporter des solutions pertinentes.
139;2;-Il sait parfaitement utiliser les systêmes d'information de l'entreprise. Pour changer réguliêrement d'environnement technique
140;1;Installation
141;1;Installer
142;2;Intégration
143;1;la Direction informatique
144;2;-Le responsable d'un SI métierÂ possêde de bonnes connaissances générales informatiques : systêmes d'exploitation
145;2;Maîtrise de l'anglais technique relatif Ã  l'informatique.Â 
146;2;Maîtrise de l'anglais technique.
147;2;Maîtrise de l'utilisation du produit dont ils assurent le service aprês - vente.
148;1;Maîtrise des logiciels
149;2;Maîtrise des normes de sécurité et de l'actualité des risques mondiaux en matiêre de sécurité.
150;2;Maîtrise parfaite de la communication orale en langues étrangêres (anglais + franÃ§ais).
151;1;Maîtriser des logiciels de gestion (gestion de planning
152;1;Maîtriser des logiciels spécifiques Ã  son domaine technique (analyses mécaniques
153;1;Maîtriser la méthodologie de conduite de projet
154;1;Maîtriser les logiciels de bureautique (traitement de texte
155;2;Matériels informatiques
156;1;Mener une veille
157;1;Mettre en oeuvre une rêgle
158;1;Mettre en oeuvre une technique
159;2;Mettre en place un dispositif de pilotage du SI (anticipation et gestion de la charge
160;1;Mise en exploitation / production et maintenance
161;2;Organisation
162;2;Organiser et coordonner l'ensemble des travaux d'intégration (matériel
163;3;Pilotage du service informatique
164;1;posséder une excellente maitrise du langage informatique.Â 
165;2;Procédures
166;2;professionnelle
167;1;Proposer une solution permettant de résoudre le problême
168;2;Qualité 
169;1;Réactivité
170;1;Réalisation des objectifs fixés par la DSI
171;1;Réaliser le paramétrage et le debugging de période de lancement
172;1;Réaliser le support de niveau 1 aux utilisateurs
173;1;Réaliser une analyse de risques et d'impacts de mise en production
174;1;Réaliser une veille technologique sur son domaine d'activité
175;1;Rédiger 
176;1;Rédiger la documentation technique (guides utilisateur
177;2;Rêgles de déontologie
178;1;Résolution de problêmes complexes
179;3;Respecter la confidentialité des données sur les clients.
180;3;Rigueur
181;3;-Se tenir continuellement informés de l'évolution technologique dans le domaine de la NTIC.
182;3;Sens de l'anticipation pour mettre en Å“uvre des solutions innovantes.
183;3;Sens relationnel
184;2;Superviser des infrastructures informatiques et le patrimoine applicatif
185;2;Supervision et administration d'un Systême d'Information
186;3;Support et assistance aux utilisateurs et fonctions transversales
187;2;Techniques du domaine d'activité
188;1;Travailler en équipe
189;2;une forte appétence pour les technologies et les outils informatiques des bases de données. 
190;2;-UneÂ certification Itil
191;1;Utiliser des méthodes lean et/ou agiles pour maîtriser un produit / un programme
192;3;Utiliser un vocabulaire technique en anglais
193;1;VARIABILITé DES ACTIVITéS
194;1;Veille
195;2;#VALEUR!
